source_tex, atlas_tex, x, y, width, height
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_black_mobile\spr_black_mobile_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 0, 0, 640, 480
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_mobilekey\spr_mobilekey_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 642, 0, 64, 64
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_joybase\spr_joybase_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 0, 482, 59, 59
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_joybase\spr_joybase_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 708, 0, 59, 59
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_joystick\spr_joystick_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 642, 66, 41, 41
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_controls_opacity\spr_controls_opacity_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 61, 482, 107, 13
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_controls_config\spr_controls_config_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 0, 543, 100, 13
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_analog_scale\spr_analog_scale_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 769, 0, 79, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_down\spr_button_down_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 708, 61, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_mobile_pad\spr_mobile_pad_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 685, 66, 19, 24
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_left\spr_button_left_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 642, 109, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_reset_config\spr_reset_config_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 170, 482, 79, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_analog_type\spr_analog_type_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 61, 497, 72, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_controls_opacity\spr_controls_opacity_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 102, 543, 71, 12
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_restart\spr_button_restart_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 0, 558, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_right\spr_button_right_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 850, 0, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_up\spr_button_up_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 769, 14, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_c_button\spr_c_button_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 737, 61, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_h_button\spr_button_h_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 708, 92, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_joystick\spr_joystick_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 685, 92, 11, 11
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_x_button\spr_x_button_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 671, 109, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_z_button\spr_z_button_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 642, 140, 27, 29
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_down\spr_button_down_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 251, 482, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_left\spr_button_left_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 170, 496, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_restart\spr_button_restart_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 61, 511, 27, 27
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_scale\spr_button_scale_0.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 175, 543, 79, 9
C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Tools\移植脚本\安卓脚本v2.0\MobileScript\MobileGraphics\spr_button_right\spr_button_right_1.png, C:\Users\Weaver\Documents\GitHub\GameMaker-Mobiler\Packager\atlas000.png, 29, 558, 27, 27
